sample_index,snr_db,velocity_kmh,mmse_ber,mmse_ser,mmse_nmse,oamp_dl_ber,oamp_dl_ser,oamp_dl_nmse
53,10,120,0.07065217391304347,0.1358695652173913,0.3842309799117456,0.06114130434782609,0.11956521739130435,0.1748873520509257
54,10,120,0.10054347826086957,0.19021739130434784,0.4134232412208595,0.02717391304347826,0.051630434782608696,0.08132548510253157
55,10,120,0.06521739130434782,0.13043478260869565,0.37045877666222277,0.021739130434782608,0.043478260869565216,0.06434813987631038
56,10,120,0.012228260869565218,0.024456521739130436,0.16679296683419514,0.004076086956521739,0.008152173913043478,0.014200757838894329
57,10,120,0.12092391304347826,0.22010869565217392,0.49366549046260993,0.12092391304347826,0.22282608695652173,0.3339405176951264
58,10,120,0.017663043478260868,0.035326086956521736,0.19977125599898354,0.0,0.0,0.0016724853291763572
59,10,120,0.10869565217391304,0.20652173913043478,0.5159223972561351,0.029891304347826088,0.059782608695652176,0.09828477939971783
60,15,120,0.08559782608695653,0.17119565217391305,0.4969409075918835,0.04076086956521739,0.08152173913043478,0.11704283303550422
61,15,120,0.12635869565217392,0.2418478260869565,0.5180561666215278,0.125,0.23641304347826086,0.36534060986550665
62,15,120,0.05434782608695652,0.10597826086956522,0.2812971936103787,0.024456521739130436,0.04619565217391304,0.07556572525058008
63,15,120,0.05298913043478261,0.10597826086956522,0.3080382289954242,0.051630434782608696,0.10054347826086957,0.14309287655390415
64,15,120,0.05570652173913043,0.11141304347826086,0.33790602216365867,0.02309782608695652,0.043478260869565216,0.07185146740399331
65,15,120,0.09375,0.1793478260869565,0.4395432132889279,0.03940217391304348,0.07880434782608696,0.11213976902124988
66,15,120,0.04076086956521739,0.07608695652173914,0.2855125937741219,0.004076086956521739,0.008152173913043478,0.015737311881747335
67,15,120,0.07065217391304347,0.13858695652173914,0.33912474216217203,0.03940217391304348,0.07880434782608696,0.13125749484221483
68,15,120,0.059782608695652176,0.11956521739130435,0.3573995646340267,0.03804347826086957,0.07336956521739131,0.1055871885822932
