sample_index,snr_db,velocity_kmh,mmse_ber,mmse_ser,mmse_nmse,oamp_ber,oamp_ser,oamp_nmse
56,10,120,0.012228260869565218,0.024456521739130436,0.16679296683419514,0.016304347826086956,0.03260869565217391,0.04145144001844112
57,10,120,0.12092391304347826,0.22010869565217392,0.49366549046260993,0.12635869565217392,0.22826086956521738,0.4000929636429519
58,10,120,0.017663043478260868,0.035326086956521736,0.19977125599898354,0.016304347826086956,0.03260869565217391,0.05407996669260042
59,10,120,0.10869565217391304,0.20652173913043478,0.5159223972561351,0.13451086956521738,0.25271739130434784,0.4130143674424374
60,15,120,0.08559782608695653,0.17119565217391305,0.4969409075918835,0.08559782608695653,0.17119565217391305,0.2893939330702867
61,15,120,0.12635869565217392,0.2418478260869565,0.5180561666215278,0.13858695652173914,0.25,0.42093193385411476
62,15,120,0.05434782608695652,0.10597826086956522,0.2812971936103787,0.04619565217391304,0.09239130434782608,0.143895690549273
63,15,120,0.05298913043478261,0.10597826086956522,0.3080382289954242,0.050271739130434784,0.10054347826086957,0.16098523654549454
64,15,120,0.05570652173913043,0.11141304347826086,0.33790602216365867,0.06385869565217392,0.125,0.19589789686748987
65,15,120,0.09375,0.1793478260869565,0.4395432132889279,0.10733695652173914,0.20380434782608695,0.3563222073576294
66,15,120,0.04076086956521739,0.07608695652173914,0.2855125937741219,0.05434782608695652,0.10326086956521739,0.14338411500414275
67,15,120,0.07065217391304347,0.13858695652173914,0.33912474216217203,0.08288043478260869,0.16032608695652173,0.2589189160874498
68,15,120,0.059782608695652176,0.11956521739130435,0.3573995646340267,0.07336956521739131,0.14673913043478262,0.22684900631659816
69,15,120,0.21739130434782608,0.38858695652173914,0.7102374284008175,0.20108695652173914,0.36141304347826086,0.6256383576616878
70,15,120,0.01358695652173913,0.02717391304347826,0.1846594379369354,0.01358695652173913,0.02717391304347826,0.04741247725837871
71,15,120,0.019021739130434784,0.03804347826086957,0.1990155303453998,0.014945652173913044,0.029891304347826088,0.055855970311238894
72,15,120,0.08016304347826086,0.15217391304347827,0.4324119766606827,0.09239130434782608,0.1766304347826087,0.29399262607696525
73,15,120,0.07608695652173914,0.14673913043478262,0.5332943939394308,0.09782608695652174,0.18478260869565216,0.29018385589491924
74,15,120,0.04891304347826087,0.09782608695652174,0.2641822411504286,0.05298913043478261,0.10326086956521739,0.15806509653060696
75,20,120,0.04891304347826087,0.09510869565217392,0.3397787718346906,0.06385869565217392,0.12228260869565218,0.18436648545909692
76,20,120,0.014945652173913044,0.029891304347826088,0.16202677582474365,0.019021739130434784,0.03804347826086957,0.05352910269372723
77,20,120,0.025815217391304348,0.051630434782608696,0.24638326202665123,0.028532608695652172,0.057065217391304345,0.08912517932816483
78,20,120,0.051630434782608696,0.10054347826086957,0.3572638936255955,0.057065217391304345,0.10869565217391304,0.17153897491409073
79,20,120,0.051630434782608696,0.10326086956521739,0.3664036513569409,0.05570652173913043,0.11141304347826086,0.17522887233082277
80,20,120,0.03940217391304348,0.07608695652173914,0.357654204507541,0.042119565217391304,0.07608695652173914,0.13261039102994943
81,20,120,0.06929347826086957,0.125,0.3872135090989676,0.07472826086956522,0.1331521739130435,0.23655468569603372
82,20,120,0.10869565217391304,0.1983695652173913,0.5419750699100487,0.12635869565217392,0.22826086956521738,0.3739477356718991
83,20,120,0.07880434782608696,0.14673913043478262,0.5224137448694918,0.08423913043478261,0.15760869565217392,0.25735034900725634
84,20,120,0.028532608695652172,0.05434782608695652,0.22834651714237528,0.028532608695652172,0.05434782608695652,0.09934472709056431
85,20,120,0.15081521739130435,0.27717391304347827,0.9401785308517955,0.16304347826086957,0.3016304347826087,0.4720202599581271
86,20,120,0.043478260869565216,0.08695652173913043,0.28771055835313136,0.042119565217391304,0.08423913043478261,0.12916448249030818
87,20,120,0.057065217391304345,0.10597826086956522,0.3463701168730054,0.06521739130434782,0.11956521739130435,0.19609704441475442
88,20,120,0.06657608695652174,0.11956521739130435,0.3800812501864272,0.06929347826086957,0.12228260869565218,0.22779465255227252
89,20,120,0.12907608695652173,0.2418478260869565,0.9208236709157992,0.13994565217391305,0.25815217391304346,0.4390593745161736
90,10,500,0.07472826086956522,0.14673913043478262,0.3139785214210196,0.08559782608695653,0.16847826086956522,0.2401398332425594
91,10,500,0.012228260869565218,0.024456521739130436,0.1836358963057035,0.017663043478260868,0.035326086956521736,0.05362181167062878
92,10,500,0.08559782608695653,0.15489130434782608,0.37714130324809253,0.09646739130434782,0.17119565217391305,0.28305882840930885
93,10,500,0.10461956521739131,0.19021739130434784,0.4419943279215752,0.10733695652173914,0.20380434782608695,0.3312402668221918
94,10,500,0.03125,0.0625,0.23332916384920901,0.035326086956521736,0.07065217391304347,0.11855444496093792
95,10,500,0.025815217391304348,0.04891304347826087,0.21154353104992413,0.021739130434782608,0.04076086956521739,0.06906899119834942
96,10,500,0.058423913043478264,0.11684782608695653,0.3404457132781306,0.06657608695652174,0.13043478260869565,0.1977400165748044
97,10,500,0.06793478260869565,0.13043478260869565,0.34296580779198493,0.09103260869565218,0.17391304347826086,0.26219965824787056
98,10,500,0.07608695652173914,0.14945652173913043,0.37463698055248384,0.08695652173913043,0.16576086956521738,0.2550494210629739
99,10,500,0.11277173913043478,0.20923913043478262,0.48529195903153877,0.16576086956521738,0.28532608695652173,0.5049517404702332
100,10,500,0.11820652173913043,0.22554347826086957,0.42634474586099297,0.1331521739130435,0.25,0.40284607190970595
101,10,500,0.10597826086956522,0.1983695652173913,0.4215364720907198,0.14130434782608695,0.26358695652173914,0.4493661858986113
102,10,500,0.043478260869565216,0.08423913043478261,0.25214806033712384,0.05298913043478261,0.10054347826086957,0.15469398029189438
103,10,500,0.058423913043478264,0.11413043478260869,0.27310099524836223,0.0625,0.11956521739130435,0.18333830815047275
104,10,500,0.06114130434782609,0.12228260869565218,0.30298317227051463,0.06114130434782609,0.12228260869565218,0.18766196079434394
105,15,500,0.10461956521739131,0.20380434782608695,0.43263222494661924,0.12228260869565218,0.23369565217391305,0.38410378079089136
106,15,500,0.025815217391304348,0.051630434782608696,0.22765330050055727,0.03260869565217391,0.06521739130434782,0.09597901640815333
107,15,500,0.09375,0.1793478260869565,0.5276076126327205,0.11277173913043478,0.21467391304347827,0.34359221369338616
108,15,500,0.06114130434782609,0.12228260869565218,0.38975612613512245,0.07201086956521739,0.13858695652173914,0.23334752950864215
109,15,500,0.021739130434782608,0.043478260869565216,0.21679874023860454,0.019021739130434784,0.03804347826086957,0.05213523430582895
110,15,500,0.036684782608695655,0.07336956521739131,0.2341583320632914,0.028532608695652172,0.057065217391304345,0.09520742018319027
111,15,500,0.033967391304347824,0.06521739130434782,0.24159983501400462,0.03940217391304348,0.07880434782608696,0.11586997272399158
112,15,500,0.009510869565217392,0.019021739130434784,0.18017716590181315,0.012228260869565218,0.024456521739130436,0.032523491329515604
113,15,500,0.057065217391304345,0.10869565217391304,0.3042361312399278,0.06114130434782609,0.11684782608695653,0.19898353225926443
114,15,500,0.08152173913043478,0.16032608695652173,0.5102857379247624,0.08288043478260869,0.15760869565217392,0.2636857488365803
115,15,500,0.16304347826086957,0.3016304347826087,0.645730346558065,0.18342391304347827,0.3342391304347826,0.5751731511763946
116,15,500,0.06657608695652174,0.12771739130434784,0.4155739424226298,0.08152173913043478,0.15760869565217392,0.24786760720096893
117,15,500,0.06114130434782609,0.12228260869565218,0.3499467703303157,0.06793478260869565,0.1358695652173913,0.1980063295731041
118,15,500,0.07472826086956522,0.14945652173913043,0.42173332162335536,0.08559782608695653,0.17119565217391305,0.25750432606471696
119,15,500,0.07608695652173914,0.14945652173913043,0.43193944485581065,0.10190217391304347,0.20380434782608695,0.314806742087879
120,20,500,0.025815217391304348,0.051630434782608696,0.2935297624190272,0.029891304347826088,0.059782608695652176,0.09618630171051622
121,20,500,0.029891304347826088,0.059782608695652176,0.2946795794467867,0.033967391304347824,0.06521739130434782,0.08337369354011494
122,20,500,0.04076086956521739,0.08152173913043478,0.30670835672185554,0.04076086956521739,0.08152173913043478,0.12727849826934745
123,20,500,0.08967391304347826,0.17119565217391305,0.4725655456774341,0.10461956521739131,0.1956521739130435,0.3111775516866329
124,20,500,0.04483695652173913,0.08967391304347826,0.5046154712858337,0.04619565217391304,0.09239130434782608,0.13690029529448342
125,20,500,0.13451086956521738,0.24728260869565216,0.8216784007765205,0.15217391304347827,0.27445652173913043,0.4582250481591779
126,20,500,0.125,0.23641304347826086,0.6037950881955618,0.13451086956521738,0.25,0.4146963834376927
127,20,500,0.04755434782608696,0.09510869565217392,0.25066291178608396,0.04755434782608696,0.09239130434782608,0.150481469473206
128,20,500,0.03940217391304348,0.07608695652173914,0.3055936340656821,0.043478260869565216,0.08423913043478261,0.13310872372108568
129,20,500,0.09239130434782608,0.1793478260869565,0.532290465150514,0.09918478260869565,0.19021739130434784,0.33882726306432337
130,20,500,0.005434782608695652,0.010869565217391304,0.12182652645771272,0.006793478260869565,0.01358695652173913,0.01395973550013569
131,20,500,0.08152173913043478,0.16304347826086957,0.48305767535565713,0.09239130434782608,0.18206521739130435,0.30083542667284674
132,20,500,0.002717391304347826,0.005434782608695652,0.11555149329941206,0.0,0.0,0.0010105533056432997
133,20,500,0.059782608695652176,0.11684782608695653,0.3954320136006184,0.06793478260869565,0.1331521739130435,0.2240399645842526
134,20,500,0.001358695652173913,0.002717391304347826,0.10776965912440907,0.001358695652173913,0.002717391304347826,0.003303901090876076
